epoch,accuracy,loss,val_accuracy,val_loss
0,0.37059998512268066,1.6205552816390991,0.5603333115577698,1.2592644691467285
1,0.5009263157844543,1.2611401081085205,0.5653333067893982,1.190096378326416
2,0.5552230477333069,1.1301500797271729,0.6169999837875366,1.1274714469909668
3,0.60738205909729,1.0298466682434082,0.6753333210945129,1.0186494588851929
4,0.6447912454605103,0.9404675960540771,0.7166666388511658,0.8435414433479309
5,0.6760724186897278,0.8755490183830261,0.7390000224113464,0.7816351652145386
6,0.7151204347610474,0.7954270243644714,0.7756666541099548,0.6859356164932251
7,0.7370671033859253,0.7377299666404724,0.7369999885559082,0.7647088766098022
8,0.7571612000465393,0.6968687176704407,0.7546666860580444,0.7000371813774109
9,0.7709134817123413,0.6618744730949402,0.8196666836738586,0.5397624969482422
10,0.7794641852378845,0.6343154311180115,0.8043333292007446,0.5828227996826172
11,0.7959954142570496,0.597161591053009,0.8016666769981384,0.5781164169311523
12,0.8063274621963501,0.5652993321418762,0.8069999814033508,0.5536126494407654
13,0.81088787317276,0.5498514771461487,0.8106666803359985,0.5509787797927856
14,0.8190109729766846,0.5259853601455688,0.8413333296775818,0.46639126539230347
15,0.8216474056243896,0.5145952701568604,0.8066666722297668,0.5350031852722168
16,0.8310531377792358,0.4863402545452118,0.8309999704360962,0.48843398690223694
17,0.837822437286377,0.4725380539894104,0.8513333201408386,0.46120181679725647
18,0.8464443683624268,0.4380914866924286,0.8330000042915344,0.5011788606643677
19,0.8495795726776123,0.4314066767692566,0.831333339214325,0.4888473451137543
20,0.8597691059112549,0.4191463887691498,0.8403333425521851,0.4798926115036011
21,0.8692461252212524,0.38099905848503113,0.8393333554267883,0.4683612585067749
22,0.8701724410057068,0.3728509843349457,0.8389999866485596,0.48024848103523254
23,0.8734502196311951,0.35935407876968384,0.8370000123977661,0.4942069947719574
24,0.8817158341407776,0.34244194626808167,0.8560000061988831,0.46177640557289124
